x,y,R_c,V_target
-554.259,-45.9448,33.857591442497416,11.1591123856095
-548.007,-45.0595,541721461503.17993,11.1591123856095
-541.671,-43.9613,64.48980008014718,11.1591123856095
-535.232,-42.7359,64.27163202560757,11.1591123856095
-528.679,-41.4517,128.23154340451828,11.1591123856095
-522.013,-40.1133,133.28299810798245,11.1591123856095
-515.233,-38.7262,138.2952106431006,11.1591123856095
-508.339,-37.3049,1007970912419.8676,11.1591123856095
-501.331,-35.8574,71.08583117024686,11.1591123856095
-494.212,-34.3858,49.52140682542908,11.1591123856095
-486.982,-32.89,51.20887474916993,11.1591123856095
-479.635,-31.3697,151.95744550145463,11.1591123856095
-472.17,-29.8241,157.07001684030882,11.1591123856095
-464.589,-28.2534,83.61190297089128,11.1591123856095
-456.897,-26.6486,4991357771247.618,11.1591123856095
-449.099,-24.9894,183.46042302201133,11.1591123856095
-441.189,-23.2917,87.08464732503302,11.1591123856095
-433.178,-21.5418,161.27193997632108,11.1591123856095
-425.074,-19.738,199.0409331832236,11.1591123856095
-416.876,-17.892,202.33571113960627,11.1591123856095
-408.628,-16.0261,202.3357111568468,11.1591123856095
-400.366,-14.1557,64.29901542015772,11.1591123856095
-391.965,-12.2529,93.75155224605828,11.1591123856095
-383.493,-10.3326,169.73926168395306,11.1591123856095
-374.955,-8.39666,2147723888872.959,11.1591123856095
-366.366,-6.45265,98.18687839058562,11.1591123856095
-357.741,-4.50612,2233.2895783250674,11.1591123856095
-349.16,-2.57437,723.2426335884422,11.1591123856095
-340.678,-0.711747,886.4324383273632,11.1591123856095
-332.293,1.07153,2061.9793135857635,11.1591123856095
-324.009,2.81101,96.3847992030092,11.1591123856095
-315.83,4.52513,89.21742798020149,11.1591123856095
-307.752,6.21746,90.55630365603346,11.1591123856095
-299.776,7.88861,1858.539253571765,11.1591123856095
-291.899,9.53739,86.86488221416398,11.1591123856095
-284.118,11.163,10015657940153.195,11.1591123856095
-276.432,12.7632,2864662330805.71,11.1591123856095
-268.833,14.311,168.496257095395,11.1591123856095
-261.32,15.8106,82.78542388781901,11.1591123856095
-253.895,17.2831,160.2704399715005,11.1591123856095
-246.558,18.7363,52.48693815471135,11.1591123856095
-239.308,20.1722,157.0741346603323,11.1591123856095
-232.149,21.6173,48.79790427830187,11.1591123856095
-225.112,23.105,66.01247022186428,11.1591123856095
-218.3,24.6089,135.0464784614316,11.1591123856095
-211.716,26.1114,126.1780421915234,11.1591123856095
-205.28,27.6392,84.10965672971791,11.1591123856095
-198.969,29.3358,122.4573526758304,11.1591123856095
-192.848,31.3412,120.69359572931764,19.955718004509144
-186.946,33.7055,22.56007464122956,11.1591123856095
-181.19,36.3521,25.991623785898163,11.1591123856095
-175.461,39.1321,21.329410287730447,15.429474957151392
-169.714,41.9849,909024170533.7964,11.1591123856095
-163.946,44.9182,25.752003571104275,11.1591123856095
-158.159,47.9511,25.39499961437828,11.1591123856095
-152.362,51.1064,25.09458563905156,11.1591123856095
-146.561,54.3871,24.82291038565689,11.1591123856095
-140.77,57.8097,24.581264770039542,11.1591123856095
-134.998,61.3828,153.16941665712167,11.1591123856095
-129.278,65.1459,159.25400007528435,18.957250173499933
-123.631,69.1158,22.72144849993286,11.1591123856095
-118.028,73.2499,20.072461382973867,12.022366935171954
-112.421,77.4808,22.791189189655903,12.022366935171954
-106.788,81.7547,22.79754854966486,12.022366935171954
-101.183,85.9934,1622466192185.7546,12.022366935171954
-95.5974,90.1195,162.9635537442912,12.022366935171954
-89.9806,94.0434,155.24655289770402,12.022366935171954
-84.2722,97.6802,56.28974107503442,19.955718004509144
-78.4417,100.924,13.692370091046609,10.514531488514985
-72.5108,103.756,13.48866262874142,10.239587053051066
-66.4968,106.143,12.6724083111368,10.182314645048946
-60.4307,108.159,12.194618232360876,10.015135556327714
-54.3155,109.909,440.469479647993,9.945108065733956
-48.1348,111.333,11.369701551413671,9.82837648753851
-41.8736,112.387,398.86196815358375,9.991282573375114
-35.5279,113.156,1114.200895969332,9.961666942876183
-29.1009,113.741,11.729630952026804,9.929847356736415
-22.5972,114.171,2171.17475198324,10.321722684433412
-16.0218,114.42,12.170265775740187,10.136244678321807
-9.39181,114.412,12.289182435906003,10.205143103957774
-2.74734,114.041,12.391037543295964,7.249642502324483
3.87856,113.284,8617.427920508777,10.298064402496648
10.4681,112.15,12.712399293452648,10.287592636768702
17.0339,110.742,13.255252651621625,10.367465570734929
23.5805,109.152,518.3601412617115,10.50200099458378
30.1194,107.489,13.163758186877123,10.435675760464184
36.6861,105.729,1322241560596.2097,7.83798679768943
43.2826,103.885,13.66263647813222,10.773938904437474
49.9224,102.018,495.6393411146597,11.833637695720338
56.6144,100.164,987467317735.2716,11.307197656211663
63.3558,98.3279,1244609618558.5054,12.238451468103817
70.1638,96.7066,69.08321995554583,12.238451468103817
76.9818,95.4498,114.95603097412308,12.238451468103817
83.7583,94.4297,114.00863253720856,12.238451468103817
90.4743,93.476,127.839094722916,12.238451468103817
97.1247,92.5385,1062694181185.5956,12.238451468103817
103.655,91.6274,829512659465.0878,12.238451468103817
109.983,90.7654,111.09215264831236,12.238451468103817
116.205,89.9488,108.73432686021528,12.238451468103817
122.374,89.1775,106.33622649562012,12.238451468103817
128.434,88.4837,48.86391272799005,12.238451468103817
134.341,87.9251,115.61077175837652,12.238451468103817
140.149,87.5017,145.83517376391646,12.238451468103817
145.891,87.1731,180.2166554392223,12.238451468103817
151.493,86.9473,120.06129793685288,12.238451468103817
157.017,86.8554,86.07267217310027,12.238451468103817
162.461,86.9455,1536149267993.5603,12.238451468103817
167.738,87.3253,75.2471668775724,19.97961544796988
172.796,88.0775,18.2608033637393,11.174161027372724
177.66,89.2484,35.2554658258601,11.1591123856095
182.3,90.8313,14.3650326979817,10.090836817842002
186.685,92.7931,13.822704892916969,9.9311871906207
190.783,95.1062,9.702749004016804,8.505330400596895
194.562,97.7475,9.556841439333734,8.472138868891005
197.976,100.696,3.9004010050572737,5.756544704839265
200.966,103.936,6.886751461934033,7.649172531553892
203.535,107.399,6.066854046192934,5.555253628343485
205.669,111.034,599591443082.2006,5.515627432035019
207.337,114.817,211707261715.7004,4.688909076871261
208.544,118.703,3.758486658908722,5.650849728499998
209.295,122.655,4.465066990967011,6.159984312897896
209.592,126.652,4.527732204806706,6.178134346041659
209.451,130.662,inf,5.969424034467607
208.87,134.665,3.9057291268349807,5.760475211391814
207.873,138.632,16.059972301491303,5.6473075737168426
206.45,142.511,5.2814136091079975,5.580418924668015
204.6,146.249,5.642474690484404,5.496732403247396
202.331,149.792,8.59015020184593,7.201139769894093
199.658,153.104,7.736056263361875,5.550404792623399
196.613,156.177,7.7926130480811855,5.651753627024278
193.217,158.98,6.840558141366551,5.774166963053136
189.504,161.469,6.509926832294021,6.107122049752686
185.509,163.595,13.505313021646414,6.0551805293158685
181.268,165.311,9.336701906834296,7.251652934472067
176.826,166.584,5.005704162854991,6.707517211544959
172.228,167.411,47.71387328628762,6.795914004973517
167.521,167.798,6.250626971463556,5.151844718382915
162.742,167.719,368042202105.1761,7.439834286685402
157.93,167.232,7.792741013080957,7.613982714070484
153.08,166.408,5.886527518537888,7.0719118912143895
148.15,165.441,9.02310728042598,7.924469413490277
143.12,164.395,35.82560034684997,8.136827557276874
137.972,163.278,36.55762027773248,8.319522832414865
132.69,162.083,7.037177827494823,7.644321386278992
127.242,160.781,9.234847552163302,7.89614649181769
121.624,159.356,9.940409950487346,9.189870670436036
115.839,157.793,14.851511607343005,9.56150739942746
109.889,156.098,39.46335611351716,8.665841498019002
103.761,154.299,17.20823767415029,10.11173716395042
97.5265,152.446,11.301966132187289,9.72990002014864
91.5093,150.652,395738864678.3658,9.479869978273504
85.8076,148.953,9.892212770518258,8.783507653573723
80.4951,147.379,299547287997.1439,8.313285248341991
75.5516,145.946,6.745788033546592,7.544387160234566
70.8864,144.652,6.271889191440494,7.264775042532381
66.3604,143.462,243.29593984959195,7.226289375242323
61.9274,142.485,5.532218418576887,6.855780603565814
57.6596,141.878,115272305239.13472,6.650254534919785
53.4551,141.66,inf,6.6847980400440825
49.275,141.698,1669.7473442369203,6.735432293736396
45.1876,141.974,4.511854386616146,6.124204245711894
41.3842,142.599,4.133441571022238,5.7068798951994975
37.8838,143.606,3.79838577668484,5.703847528608906
34.6679,145.021,71.33453445659626,5.38332012410504
31.772,146.818,3.565489560474389,5.503853132650836
29.2747,148.817,38.54441018895376,5.261801533671166
27.157,150.786,2.619299702041342,4.708170524979902
25.3377,152.902,13.188606690847452,4.908914769106872
23.9076,155.217,11.281903775929976,9.790355176412197
22.9322,157.646,9.2000788966508,5.408666082432797
22.3824,160.021,7.885823128725308,5.770055768955292
22.1953,162.361,14.630062995520513,6.2220827212764
22.4102,164.644,7.226581642502272,4.010067456608116
23.0588,166.79,3.627954851385048,4.010067456608116
24.1164,168.749,16.596417625326403,4.010067456608116
25.4839,170.558,2.058485966907201,4.152511316140561
